epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453.511,2.22548,3.16832,2.08685,0.53092,0.32343,0.33251,0.14471,2.18084,2.43076,1.84547,0.00332858,0.00332858,0.00332858
2,904.088,1.93029,2.07895,1.77859,0.66455,0.29278,0.31699,0.13531,2.23193,2.30986,2.04146,0.00663553,0.00663553,0.00663553
3,1349.47,1.97091,2.04834,1.76999,0.43813,0.30854,0.30999,0.11584,2.30075,2.41458,2.08555,0.00991608,0.00991608,0.00991608
4,1795.09,1.99479,2.08316,1.82447,0.69134,0.31111,0.40909,0.17298,2.10724,2.22306,2.00104,0.0098812,0.0098812,0.0098812
5,2241.33,1.88783,1.92045,1.74048,0.55095,0.42584,0.42496,0.17028,2.13263,1.96768,1.91014,0.0098416,0.0098416,0.0098416
6,2686.16,1.78347,1.79199,1.65585,0.70927,0.39967,0.52868,0.23423,2.02514,1.72826,1.89827,0.009802,0.009802,0.009802
7,3130.65,1.71337,1.67189,1.60624,0.65143,0.44228,0.50503,0.22509,2.06718,1.87596,1.92941,0.0097624,0.0097624,0.0097624
8,3595.9,1.63321,1.5718,1.54964,0.65681,0.49366,0.52581,0.25922,2.06104,1.9334,1.9213,0.0097228,0.0097228,0.0097228
9,4038.75,1.58977,1.489,1.53037,0.66028,0.50143,0.56389,0.25755,2.01798,1.69754,1.81996,0.0096832,0.0096832,0.0096832
10,4488.43,1.54114,1.44652,1.49386,0.72275,0.4375,0.52951,0.27286,1.95101,2.01689,1.84842,0.0096436,0.0096436,0.0096436
11,4932.36,1.49886,1.3792,1.46257,0.69962,0.3748,0.56979,0.26412,1.97777,1.76464,1.83335,0.009604,0.009604,0.009604
12,5375.61,1.45007,1.31685,1.42564,0.7897,0.44829,0.58224,0.33326,1.89372,1.93444,1.77253,0.0095644,0.0095644,0.0095644
13,5819.37,1.41907,1.27859,1.40794,0.66747,0.55427,0.60487,0.30301,2.05425,1.69639,1.88637,0.0095248,0.0095248,0.0095248
14,6272.98,1.38416,1.23145,1.37913,0.71771,0.47862,0.59356,0.32548,1.95036,1.72668,1.79459,0.0094852,0.0094852,0.0094852
15,6716.7,1.3502,1.20147,1.35823,0.72053,0.48785,0.60363,0.32708,1.97056,1.97718,1.79082,0.0094456,0.0094456,0.0094456
16,7163.13,1.32931,1.16488,1.34414,0.63122,0.58164,0.60853,0.31275,1.92029,1.68031,1.79552,0.009406,0.009406,0.009406
17,7609.03,1.31041,1.14172,1.33425,0.69531,0.58464,0.63397,0.34276,1.94725,1.63362,1.79883,0.0093664,0.0093664,0.0093664
18,8054.76,1.28421,1.116,1.31276,0.69669,0.56845,0.62796,0.33132,1.99726,1.90173,1.84478,0.0093268,0.0093268,0.0093268
19,8499.25,1.25601,1.07995,1.29095,0.67956,0.56765,0.6192,0.33011,1.94631,1.75606,1.80361,0.0092872,0.0092872,0.0092872
20,8944.69,1.24567,1.07724,1.29463,0.62768,0.57775,0.5977,0.32242,1.87455,1.70396,1.7207,0.0092476,0.0092476,0.0092476
21,9395.83,1.21609,1.04696,1.27403,0.70627,0.59905,0.63849,0.35414,1.88649,1.68184,1.78089,0.009208,0.009208,0.009208
22,9841.1,1.19726,1.01858,1.25151,0.67208,0.6265,0.64732,0.36304,1.8912,1.79077,1.7692,0.0091684,0.0091684,0.0091684
23,10287.1,1.19827,1.01584,1.2534,0.77501,0.5956,0.6743,0.38397,1.78572,1.63963,1.6924,0.0091288,0.0091288,0.0091288
24,10731.4,1.17407,0.9813,1.23985,0.64792,0.59857,0.65293,0.37529,1.80223,1.6243,1.73153,0.0090892,0.0090892,0.0090892
25,11174.8,1.15489,0.97392,1.23034,0.79711,0.54265,0.6205,0.3651,1.92011,2.11487,1.80958,0.0090496,0.0090496,0.0090496
26,11619.2,1.13969,0.95226,1.2247,0.68529,0.5892,0.65528,0.3784,1.89945,1.74342,1.74969,0.00901,0.00901,0.00901
27,12063.4,1.12958,0.94062,1.21465,0.62235,0.62154,0.679,0.40219,1.81965,1.604,1.68221,0.0089704,0.0089704,0.0089704
28,12489.2,1.10944,0.93024,1.20264,0.68769,0.62877,0.67011,0.39526,1.78756,1.7427,1.68936,0.0089308,0.0089308,0.0089308
29,12906.4,1.11468,0.93622,1.20573,0.67721,0.62146,0.68962,0.40679,1.75156,1.57837,1.6532,0.0088912,0.0088912,0.0088912
30,13323.5,1.1007,0.91202,1.19386,0.67496,0.66976,0.68068,0.40848,1.76202,1.73408,1.67493,0.0088516,0.0088516,0.0088516
31,13742.6,1.09227,0.89955,1.18958,0.72424,0.64537,0.70883,0.40118,1.77505,1.49897,1.67273,0.008812,0.008812,0.008812
32,14159.5,1.08081,0.87878,1.18425,0.62503,0.67001,0.67787,0.3921,1.74383,1.49872,1.67008,0.0087724,0.0087724,0.0087724
33,14580.8,1.06473,0.88016,1.17367,0.65226,0.65608,0.69796,0.4099,1.7688,1.58293,1.65962,0.0087328,0.0087328,0.0087328
34,14998.9,1.05633,0.86065,1.1673,0.68017,0.64046,0.68444,0.41524,1.76106,1.72425,1.67826,0.0086932,0.0086932,0.0086932
35,15417.7,1.0551,0.85431,1.16281,0.6637,0.63487,0.69229,0.42324,1.73646,1.65751,1.66102,0.0086536,0.0086536,0.0086536
36,15836.4,1.04386,0.85231,1.16012,0.72398,0.63947,0.71923,0.44099,1.73262,1.55996,1.61638,0.008614,0.008614,0.008614
37,16255,1.02996,0.84119,1.15083,0.69444,0.68699,0.74973,0.45168,1.70244,1.39097,1.59835,0.0085744,0.0085744,0.0085744
38,16670.9,1.02851,0.84451,1.14711,0.67439,0.67585,0.71623,0.44405,1.70616,1.49523,1.62696,0.0085348,0.0085348,0.0085348
39,17087.3,1.00866,0.81693,1.13547,0.72328,0.68346,0.72101,0.4454,1.71422,1.50066,1.63103,0.0084952,0.0084952,0.0084952
40,17505.3,1.00737,0.82127,1.13674,0.69282,0.6686,0.72086,0.44391,1.72388,1.55929,1.66067,0.0084556,0.0084556,0.0084556
41,35283.5,1.00634,0.81608,1.13444,0.72767,0.65917,0.71266,0.44446,1.71019,1.66492,1.61677,0.008416,0.008416,0.008416
42,35694.5,0.99622,0.8018,1.13197,0.70264,0.66558,0.71182,0.45632,1.70703,1.59941,1.62439,0.0083764,0.0083764,0.0083764
43,36112,0.98462,0.79205,1.12218,0.70158,0.6777,0.71737,0.46645,1.67952,1.57205,1.60012,0.0083368,0.0083368,0.0083368
44,36529.9,0.97313,0.78224,1.12066,0.68727,0.66681,0.68901,0.44375,1.65907,1.66561,1.60655,0.0082972,0.0082972,0.0082972
45,36947.5,0.9709,0.78972,1.11529,0.70901,0.68914,0.72991,0.45699,1.68915,1.46435,1.61132,0.0082576,0.0082576,0.0082576
46,37364.8,0.96709,0.78148,1.11096,0.68212,0.69644,0.71754,0.46381,1.67317,1.50748,1.60581,0.008218,0.008218,0.008218
47,37782.3,0.95981,0.77592,1.10868,0.73136,0.69125,0.73484,0.46915,1.65523,1.50177,1.59584,0.0081784,0.0081784,0.0081784
48,38200.6,0.94952,0.76121,1.10191,0.731,0.70421,0.74066,0.46308,1.68633,1.53793,1.61912,0.0081388,0.0081388,0.0081388
49,38618.3,0.93949,0.75378,1.09502,0.77768,0.67043,0.74445,0.48378,1.62894,1.48057,1.5902,0.0080992,0.0080992,0.0080992
50,39036.8,0.94788,0.7604,1.09828,0.75353,0.68807,0.7346,0.48137,1.64845,1.51066,1.58987,0.0080596,0.0080596,0.0080596
51,39455,0.93085,0.75459,1.08928,0.72175,0.69535,0.73829,0.47768,1.63541,1.52232,1.59936,0.00802,0.00802,0.00802
52,39873,0.93759,0.7536,1.0908,0.6908,0.68883,0.72807,0.4815,1.60988,1.51168,1.57336,0.0079804,0.0079804,0.0079804
53,40291.6,0.92844,0.74713,1.08768,0.68713,0.69809,0.73376,0.48005,1.59207,1.56172,1.57031,0.0079408,0.0079408,0.0079408
54,40709.8,0.92291,0.74338,1.08383,0.67925,0.70572,0.7371,0.49278,1.5762,1.49405,1.56647,0.0079012,0.0079012,0.0079012
55,41128.7,0.91279,0.73834,1.08235,0.72789,0.6756,0.72976,0.48954,1.60631,1.5841,1.58101,0.0078616,0.0078616,0.0078616
56,41546.1,0.91387,0.73601,1.08159,0.70578,0.674,0.71886,0.49114,1.59697,1.63467,1.58053,0.007822,0.007822,0.007822
57,41964.3,0.90465,0.72764,1.07559,0.78454,0.66931,0.72697,0.49717,1.58418,1.59728,1.56537,0.0077824,0.0077824,0.0077824
58,42383.2,0.89929,0.72533,1.07591,0.76156,0.66592,0.73795,0.50536,1.59251,1.57431,1.56418,0.0077428,0.0077428,0.0077428
59,42801.5,0.89219,0.72338,1.07107,0.74153,0.68054,0.73767,0.50838,1.5527,1.56803,1.55193,0.0077032,0.0077032,0.0077032
60,43220.2,0.88653,0.71215,1.06461,0.71321,0.68943,0.72847,0.50009,1.56117,1.56022,1.54639,0.0076636,0.0076636,0.0076636
61,43639.4,0.88406,0.70436,1.06355,0.76436,0.68646,0.72945,0.49881,1.56935,1.57079,1.56186,0.007624,0.007624,0.007624
62,44058.3,0.88332,0.70911,1.06366,0.74985,0.66692,0.71978,0.50426,1.57332,1.65524,1.58223,0.0075844,0.0075844,0.0075844
63,44477.5,0.88539,0.70722,1.06513,0.78409,0.65857,0.72385,0.50644,1.57746,1.63664,1.5871,0.0075448,0.0075448,0.0075448
64,44894.9,0.87585,0.69909,1.05686,0.73698,0.68132,0.73331,0.51462,1.56661,1.61937,1.57206,0.0075052,0.0075052,0.0075052
65,45313,0.86315,0.69293,1.05443,0.75632,0.68187,0.73862,0.51952,1.5557,1.54961,1.55808,0.0074656,0.0074656,0.0074656
